"Country","combined figures (kg/capita/year)","Household estimate (kg/capita/year)","Household estimate (tonnes/year)","Retail estimate (kg/capita/year)","Retail estimate (tonnes/year)","Food service estimate (kg/capita/year)","Food service estimate (tonnes/year)","M49 code","Region","Source"
"TAJIKISTAN",141,97,906209,16,145783,28,257708,762,"CENTRAL ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2025"
"THAILAND",123,79,5478532,16,1088960,28,1925014,764,"SOUTH-EASTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2148"
"TIMOR-LESTE",130,86,111643,16,20224,28,35752,626,"SOUTH-EASTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2149"
"TOGO",147,103,830017,16,126411,28,223463,768,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2222"
"TONGA",120,76,7912,16,1634,28,2889,776,"POLYNESIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2137"
"TRINIDAD AND TOBAGO",113,74,103119,13,17872,26,35671,780,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2090"
"TUNISIA",135,91,1064407,16,182908,28,323336,788,"NORTHERN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2112"
"TURKEY",137,93,7762575,16,1304858,28,2306668,792,"WESTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2242"
"TURKMENISTAN",120,76,449895,16,92936,28,164288,795,"CENTRAL ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2026"
"TURKS AND CAICOS ISLANDS",113,74,2824,13,489,26,977,796,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2091"
"TUVALU",120,76,878,16,181,28,321,798,"POLYNESIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2138"
"UGANDA",147,103,4546237,16,692387,28,1223969,800,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2223"
"UKRAINE",120,76,3344904,16,688070,28,1216338,804,"EASTERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2044"
"UNITED ARAB EMIRATES",134,95,923625,13,125173,26,249836,784,"WESTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2243"
"UNITED KINGDOM",98,77,5199825,4,283627,17,1114248,826,"NORTHERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2130"
"UNITED REP. OF TANZANIA",163,119,6907649,16,907219,28,1603740,834,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2224"
"UNITED STATES OF AMERICA",139,59,19359951,16,5151313,64,20934827,840,"NORTHERN AMERICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2118"
"UNITED STATES VIRGIN ISLANDS",113,74,7732,13,1340,26,2675,850,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2092"
"URUGUAY",113,74,255892,13,44349,26,88517,858,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2093"
"UZBEKISTAN",135,91,3001868,16,515841,28,911881,860,"CENTRAL ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2027"
"VANUATU",135,91,27296,16,4691,28,8292,548,"MELANESIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2099"
"VENEZUELA (BOLIV. REP. OF)",116,72,2065461,16,445994,28,788407,862,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2094"
"VIET NAM",120,76,7346717,16,1508689,28,2666991,704,"SOUTH-EASTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2150"
"YEMEN",148,104,3026946,16,456099,28,806270,887,"WESTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2244"
"ZAMBIA",122,78,1391729,16,279350,28,493822,894,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2225"
"ZIMBABWE",144,100,1458564,16,229059,28,404920,716,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2226"
