"Country","combined figures (kg/capita/year)","Household estimate (kg/capita/year)","Household estimate (tonnes/year)","Retail estimate (kg/capita/year)","Retail estimate (tonnes/year)","Food service estimate (kg/capita/year)","Food service estimate (tonnes/year)","M49 code","Region","Source"
"LAO PEOPLE'S DEM. REP.",130,86,618994,16,112133,28,198223,418,"SOUTH-EASTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2143"
"LATVIA",115,76,145263,13,24427,26,48755,428,"NORTHERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2126"
"LEBANON",149,105,717491,16,107225,28,189547,422,"WESTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2236"
"LESOTHO",144,100,211661,16,33240,28,58760,426,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2200"
"LIBERIA",147,103,507043,16,77222,28,136510,430,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2201"
"LIBYA",120,76,513146,16,106002,28,187385,434,"NORTHERN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2109"
"LIECHTENSTEIN",111,72,2724,13,487,26,972,438,"WESTERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2249"
"LITHUANIA",115,76,210241,13,35354,26,70564,440,"NORTHERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2127"
"LUXEMBOURG",117,89,54951,7,4433,21,12868,442,"WESTERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2250"
"MADAGASCAR",147,103,2769594,16,421806,28,745649,450,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2202"
"MALAWI",147,103,1913062,16,291357,28,515048,454,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2203"
"MALAYSIA",260,91,2921577,79,2518199,90,2861537,458,"SOUTH-EASTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2144"
"MALDIVES",115,71,37688,16,8305,28,14681,462,"SOUTHERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2156"
"MALI",147,103,2018765,16,307456,28,543506,466,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2204"
"MALTA",168,129,56812,13,5642,26,11261,470,"SOUTHERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2168"
"MARSHALL ISLANDS",120,76,4452,16,920,28,1626,584,"MICRONESIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2102"
"MAURITANIA",144,100,450720,16,70783,28,125127,478,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2205"
"MAURITIUS",132,93,118626,13,16267,26,32467,480,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2206"
"MEXICO",138,94,11979364,16,1995310,28,3527217,484,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2076"
"MICRONESIA (FED. STATES OF)",135,91,10358,16,1780,28,3146,583,"MICRONESIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2103"
"MONACO",111,72,2795,13,500,26,997,492,"WESTERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2251"
"MONGOLIA",122,78,250173,16,50443,28,89171,496,"EASTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2033"
"MONTENEGRO",127,83,51988,16,9822,28,17363,499,"SOUTHERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2169"
"MOROCCO",135,91,3319524,16,570427,28,1008375,504,"NORTHERN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2110"
"MOZAMBIQUE",147,103,3118416,16,474931,28,839561,508,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2208"
"MYANMAR",130,86,4666125,16,845282,28,1494251,104,"SOUTH-EASTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2145"
"NAMIBIA",136,92,229344,16,39015,28,68968,516,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2209"
"NAURU",118,79,850,13,138,26,276,520,"MICRONESIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2104"
"NEPAL",123,79,2249412,16,447447,28,790975,524,"SOUTHERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2157"
"NETHERLANDS",87,50,854855,11,188068,26,437180,528,"WESTERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2252"
"NEW CALEDONIA",118,79,22254,13,3623,26,7231,540,"MELANESIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2096"
"NEW ZEALAND",90,61,291769,3,14923,26,122306,554,"AUSTRALIA AND NEW ZEALAND","https://www.unep.org/resources/report/unep-food-waste-index-report-2022"
"NICARAGUA",124,80,524188,16,102373,28,180970,558,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2078"
"NIGER",147,103,2393877,16,364585,28,644496,562,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2210"
"NIGERIA",233,189,37941470,16,3143117,28,5556257,566,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2211"
"NORTH MACEDONIA",127,83,172480,16,32586,28,57605,807,"SOUTHERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2170"
"NORTHERN MARIANA ISLANDS",118,79,4501,13,733,26,1463,580,"MICRONESIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2105"
"NORWAY",98,79,423857,14,74088,5,26685,578,"NORTHERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2128"
"OMAN",134,95,470297,13,63736,26,127213,512,"WESTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2237"
"PAKISTAN",118,74,15947645,16,3387131,28,5987614,586,"SOUTHERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2158"
"PALAU",118,79,1416,13,231,26,460,585,"MICRONESIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2106"
"PANAMA",113,74,313897,13,54402,26,108582,591,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2079"
"PAPUA NEW GUINEA",135,91,798767,16,137260,28,242642,598,"MELANESIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2097"
